COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
1.80204 0.96681 2575.31 178.635 -0.343756 
1.52984 0.961906 4383.77 197.423 -0.388595 
1.61455 0.971004 4360.1 229.037 -0.401654 
1.99718 0.965931 4419.56 253.341 -0.426284 
2.18986 0.966651 4439.35 274.438 -0.41767 
2.08405 0.97302 4355.53 287.912 -0.378752 
1.45996 0.947732 7823.17 364.641 -0.396191 
2.17438 0.954044 8090.67 417.348 -0.365771 
2.34681 0.961699 8077.68 476.686 -0.414403 
2.79245 0.961996 8232.12 519.094 -0.353267 
3.06341 0.960471 8358.62 566.773 -0.356657 
2.06813 0.953315 9058.55 420.082 -0.378895 
2.36568 0.958843 9126.89 471.664 -0.401118 
2.61534 0.960227 9133.05 537.66 -0.422349 
3.0229 0.94532 9308.56 576.075 -0.35038 
2.82767 0.968456 9051.95 640.675 -0.320868 
2.93928 0.895988 19210.3 885.565 -0.346958 
3.64066 0.91095 19982.8 1057.34 -0.352306 
4.66092 0.935289 21271.5 1313.93 -0.359048 
4.68853 0.947523 21024.1 1387.51 -0.389355 
4.31684 0.965982 20186.3 1448.39 -0.389855 
3.89198 0.91199 30923.6 1562.19 -0.308822 
5.13147 0.874365 33413.3 1881.78 -0.237701 
4.34565 0.933484 31013.1 1890.93 -0.459964 
5.56219 0.946069 33473.3 2408.89 -0.314412 
5.74212 0.936911 33667.4 2401.16 -0.375805 
3.14625 0.898519 48205.8 2437.02 -0.410607 
5.90762 0.927851 59473.4 3440.83 -0.448559 
6.73927 0.941214 61857.5 4210.24 -0.446282 
7.66849 0.935809 64758 4903.57 -0.316417 
7.10602 0.941569 61545.9 4790.7 -0.422651 
PDF: Cut Value 0 and TKR Plane 7
1.84619e-09 0.987851 121.507 23.9541 -0.331412 
1.28036e-10 0.982517 125.962 22.485 -0.381535 
0.144234 0.987449 129.652 22.2584 -0.418423 
0.44338 0.974696 134.525 21.3517 -0.461995 
0.16298 0.959629 134.789 21.178 -0.480985 
0.926518 0.97429 207.95 29.476 -0.363264 
1.84619e-09 0.974455 207.589 27.6369 -0.38237 
1.84619e-09 0.964757 211.696 26.3005 -0.39661 
1.84619e-09 0.973818 215.688 25.8043 -0.472764 
0.296425 0.938589 218.73 25.8892 -0.466927 
0.0589976 0.987201 372.452 37.6227 -0.435618 
0.613799 0.972461 381.333 36.8877 -0.406987 
0.474792 0.964293 381.718 35.656 -0.371191 
0.744587 0.953933 386.649 36.3482 -0.365825 
0.27786 0.929369 384.46 35.0024 -0.448252 
1.34697e-10 0.976575 703.27 53.4777 -0.376334 
0.516732 0.975802 716.219 53.8925 -0.392839 
0.475799 0.968821 715.526 53.9355 -0.40767 
0.714663 0.944393 721.058 53.2474 -0.364111 
0.655921 0.943032 721.561 56.1741 -0.423066 
2.21384e-10 0.976697 785.71 56.6377 -0.37178 
0.379673 0.977824 797.245 57.7104 -0.40246 
0.730439 0.967066 809.063 57.7687 -0.409329 
0.608263 0.975029 802.468 60.411 -0.43058 
1.01657 0.947553 818.464 62.3523 -0.448292 
1.02396 0.987997 1680.45 95.7923 -0.3637 
1.07325 0.982372 1675.71 101.832 -0.373028 
1.20223 0.964725 1675.67 107.536 -0.346759 
1.47517 0.964878 1695.52 111.752 -0.362357 
1.48327 0.964232 1691.36 119.633 -0.407447 
0.848065 0.973519 2517.55 130.488 -0.377832 
0.977082 0.96957 2504.36 143.34 -0.345231 
0.928807 0.985279 2473.67 158.491 -0.393415 
1.71414 0.960015 2569.29 167.915 -0.305349 
1.86894 0.970074 2591.61 179.252 -0.394072 
1.11816 0.969513 4266.64 213.842 -0.388818 
1.73094 0.960331 4383.54 231.73 -0.370305 
1.87974 0.967714 4366.48 256.636 -0.373396 
2.00747 0.964266 4342.45 274.102 -0.326708 
1.92265 0.966061 4301.68 286.819 -0.396036 
2.13509 0.943407 8185.77 374.371 -0.396306 
2.61196 0.946591 8340.21 447.31 -0.337468 
2.71513 0.961512 8309.87 486 -0.410343 
2.79981 0.972607 8262.89 525.672 -0.401955 
3.03007 0.957903 8328 558.788 -0.367763 
2.26253 0.95616 9162.63 445.403 -0.377767 
2.36697 0.953571 9108.52 490.022 -0.382727 
2.80351 0.95231 9282.71 530.496 -0.408055 
3.31476 0.96017 9487.06 621.313 -0.315518 
3.08215 0.970977 9264.86 641.802 -0.371075 
3.17179 0.901875 19608.8 910.893 -0.431703 
3.57761 0.922759 19767.6 1076.42 -0.311342 
4.51766 0.928705 21039.6 1311.58 -0.367621 
4.17283 0.9483 20146.7 1376.75 -0.372829 
4.59105 0.968103 20597.8 1532.34 -0.324627 
3.46518 0.892008 29823.6 1466.2 -0.338435 
4.12082 0.913927 30821.3 1767.93 -0.291728 
