COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: TKR Hits Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 48 #Parameters: 5
AXES:
2
1.71173 0.94387 187.409 28.8853 -0.15001
1.63989 0.93094 184.994 26.4174 -0.218152
1.35425 0.958745 244.722 31.8444 -0.230646
1.3974 0.963332 245.784 33.6927 -0.24922
1.69485 0.963902 270.593 39.5707 -0.240478
2.19989 0.966289 314.272 50.9795 -0.223586
2.59098 0.949626 361.485 53.5884 -0.268397
1.35292 0.952824 328.377 39.9081 -0.330646
1.57128 0.940591 347.818 44.3565 -0.330327
1.94686 0.953741 380.735 51.0462 -0.31753
1.48176 0.984375 335.054 49.2566 -0.492067
1.45298 0.930596 345.694 42.2888 -0.589857
1.55411 0.931774 509.078 57.9121 -0.302414
1.76633 0.938766 530.054 63.9709 -0.314691
1.44329 0.94368 495.173 58.3247 -0.433535
1.25095 0.959019 478.126 57.3067 -0.530112
1.59577 0.867527 524.317 53.7432 -0.440135
1.97895 0.933544 881.358 98.0392 -0.344051
1.74742 0.963339 852.368 95.7839 -0.46716
2.09839 0.946813 887.04 98.5583 -0.40602
1.30162 0.91973 801.437 78.3441 -0.416178
1.11332 0.892103 799.212 67.778 -0.520075
1.89508 0.947308 953.93 102.046 -0.438449
2.30737 0.891298 988.463 108.553 -0.282953
1.46768 0.957483 902.41 94.123 -0.536811
1.36436 0.914835 888.15 86.4287 -0.437394
1.38617 0.874503 904.057 76.4302 -0.423061
3.26271 0.961564 1914.42 240.972 -0.383206
3.03207 0.980897 1880.36 230.945 -0.548549
1.89478 0.925354 1729.78 165.863 -0.562094
0.796693 0.942328 1581.98 144.448 -0.456818
1.34677 0.925342 1666.58 137.857 -0.424133
4.26986 0.955683 2808.29 402.472 -0.384318
4.11622 0.977342 2818.71 346.735 -0.603716
2.03832 0.931254 2508.15 249.633 -0.585375
0.897646 0.961455 2337.58 210.407 -0.513635
1.33309 0.931271 2385.31 200.13 -0.380358
PDF: Cut Value 0 and TKR Plane 12
0.74024 0.94363 70.6542 10.8234 0.0102779
0.814454 0.941161 76.8724 11.7319 -0.030619
0.793724 0.940376 74.8039 11.083 -0.0282157
0.777366 0.92884 73.0321 10.6873 -0.0627721
0.812327 0.932369 76.3443 10.5828 -0.040578
